id,TalhaoID,TIPO,NOME,AREA,VARIEDADE,PORTAENXERTO,DATA_DE_PLANTIO,IDADE,PRODUCAO_CAIXA,PRODUCAO_HECTARE,COR,qtde_plantas,coordinates
c8msl54l6,TALHAO_9,TALHAO,30A,4.71 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.24615089288226,-22.11848050868179,0],[-47.24625757877983,-22.11892555842035,0],[-47.24635741814305,-22.11952408467417,0],[-47.24659248360748,-22.11986649351326,0],[-47.2465839672323,-22.12014622971908,0],[-47.24648351875247,-22.12040192796967,0],[-47.24648931353376,-22.12069092758435,0],[-47.24632249111245,-22.12088855102857,0],[-47.24599395915336,-22.1211868612128,0],[-47.24593055815622,-22.12134255828247,0],[-47.2458907340485,-22.12121771828054,0],[-47.24425861106674,-22.11840842621199,0],[-47.24596480434464,-22.11768812646966,0],[-47.24613298466055,-22.11775224458496,0],[-47.24615089288226,-22.11848050868179,0]]]"
az2lwmuev,TALHAO_10,TALHAO,16,3.19 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.24629885022378,-22.11632960504043,0],[-47.24634340961116,-22.11740362482222,0],[-47.24620973712101,-22.11770415445645,0],[-47.24606506630637,-22.11772257135288,0],[-47.24593081756743,-22.11767297285353,0],[-47.24425861106674,-22.11840842621199,0],[-47.24373731060725,-22.11759384838864,0],[-47.24410350915479,-22.11731478152211,0],[-47.24456219966643,-22.11699577212996,0],[-47.24528768649711,-22.11673988375904,0],[-47.24579157566039,-22.11656274218023,0],[-47.24629885022378,-22.11632960504043,0]]]"
pwmfkfojv,TALHAO_11,TALHAO,14C,5.79 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.24498744615417,-22.11979792441968,0],[-47.24280124996429,-22.12062368356466,0],[-47.2417654152616,-22.11880760992562,0],[-47.24235224521334,-22.11853474104579,0],[-47.24270098991821,-22.11837636875077,0],[-47.24307513197915,-22.11818527836868,0],[-47.2433868270107,-22.11788548507311,0],[-47.24363000076754,-22.117651306612,0],[-47.24376664311191,-22.11763310706035,0],[-47.24498744615417,-22.11979792441968,0]]]"
f4y2oq8j0,TALHAO_12,TALHAO,30B,5.5 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.24499467711723,-22.11983679102785,0],[-47.24592047923043,-22.12140140695587,0],[-47.24580636204009,-22.12148157522311,0],[-47.24560739397749,-22.12163538828361,0],[-47.24543874839446,-22.12183716545977,0],[-47.2452655981603,-22.12201194499485,0],[-47.24514012848584,-22.12212050005982,0],[-47.24496377703679,-22.12226719649842,0],[-47.24469094860906,-22.12236042577335,0],[-47.24447143252537,-22.12218573842094,0],[-47.24422468680707,-22.12221816598974,0],[-47.24367407106079,-22.12224873287988,0],[-47.24280046201079,-22.12066379292726,0],[-47.24499467711723,-22.11983679102785,0]]]"
nqdd5l182,TALHAO_13,TALHAO,30C,3.53 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.24366879733488,-22.12223733134641,0],[-47.2435032680602,-22.1222764136643,0],[-47.24333576168636,-22.12221739294365,0],[-47.24315296793534,-22.12209992815677,0],[-47.24290030848285,-22.12203292564935,0],[-47.24261652092814,-22.12217878959537,0],[-47.24236350663896,-22.12226940389366,0],[-47.24224647788033,-22.12226897347225,0],[-47.24196614225543,-22.12228237286334,0],[-47.24169690187878,-22.12231410528564,0],[-47.24133430781187,-22.12229131813374,0],[-47.241019051465,-22.12216243467003,0],[-47.24081023582476,-22.1220315437399,0],[-47.24056996230729,-22.12192424448583,0],[-47.24023559538706,-22.12169673061798,0],[-47.24276925614181,-22.12067930581751,0],[-47.24366879733488,-22.12223733134641,0]]]"
cicq7s3ot,TALHAO_14,TALHAO,14D,4.59 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.2402138644987,-22.12167410440881,0],[-47.23974284420407,-22.12089053953638,0],[-47.23950119664176,-22.1207667240784,0],[-47.23951705341364,-22.12035779523044,0],[-47.23970191795442,-22.12020937967686,0],[-47.23995676604405,-22.12016834106406,0],[-47.24003885320384,-22.12032831129135,0],[-47.2401917873958,-22.12045411381282,0],[-47.24033619735296,-22.12053383994269,0],[-47.24057864281713,-22.12044029192187,0],[-47.24076631671547,-22.12010731487467,0],[-47.24096245645152,-22.11982026744086,0],[-47.24118175686714,-22.11960537333038,0],[-47.24142892704337,-22.11918627102152,0],[-47.2417382083772,-22.11884570685255,0],[-47.24278296771475,-22.12065600385464,0],[-47.2402138644987,-22.12167410440881,0]]]"
dln3mwe3c,TALHAO_15,TALHAO,29C,8.68 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.24685825344358,-22.11398580258369,0],[-47.24689466432565,-22.11401806901493,0],[-47.24680176807025,-22.11417169990455,0],[-47.2466830829151,-22.11445469441108,0],[-47.24658386184558,-22.1146784996175,0],[-47.2464703774958,-22.11492603921609,0],[-47.24639950955484,-22.11516918435739,0],[-47.2462845305964,-22.11542474984123,0],[-47.24614806764619,-22.11569089593535,0],[-47.24602752852821,-22.11587439798249,0],[-47.24592998194833,-22.11598009241045,0],[-47.2457673707514,-22.1160592049898,0],[-47.24552058077584,-22.11617929786911,0],[-47.2452554657159,-22.11629995524481,0],[-47.24505471082847,-22.11643912361053,0],[-47.24466365573037,-22.1166210707174,0],[-47.24442937680674,-22.11677663567184,0],[-47.24421017956086,-22.11695815960161,0],[-47.24396443138009,-22.11707782551671,0],[-47.24360348681541,-22.11729509098715,0],[-47.24346414873542,-22.11709701173217,0],[-47.24216592983561,-22.11483824777648,0],[-47.24685825344358,-22.11398580258369,0]]]"
k2yg3xhvx,TALHAO_16,TALHAO,14B,5.92 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.2434196518683,-22.11704196499194,0],[-47.24317475516846,-22.11711881145641,0],[-47.2429083046464,-22.11720579874198,0],[-47.24261504306956,-22.11729000543533,0],[-47.24248562687074,-22.11737776005396,0],[-47.24228310802776,-22.11738472073381,0],[-47.24198900095633,-22.11741959899231,0],[-47.2418787783533,-22.11741502640248,0],[-47.2417257794648,-22.11739812389381,0],[-47.2415307366226,-22.11738534836143,0],[-47.24127234567099,-22.11738688874899,0],[-47.24101737820875,-22.1173948572803,0],[-47.24084375264278,-22.11738824599846,0],[-47.24046672841362,-22.11746421244536,0],[-47.24029807552439,-22.11752958218493,0],[-47.24015160165563,-22.11763391013232,0],[-47.23999998753404,-22.11782371535036,0],[-47.23989335743304,-22.11796679695463,0],[-47.23976057830878,-22.11804772206409,0],[-47.23837708946333,-22.11682727005862,0],[-47.242715527315,-22.11586375327541,0],[-47.2434196518683,-22.11704196499194,0]]]"
katzdli0m,TALHAO_17,TALHAO,12D,5.52 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.23838652951089,-22.11679812148262,0],[-47.23810577454557,-22.11559793353736,0],[-47.24211643630666,-22.11488679304939,0],[-47.24223190027866,-22.11502770242894,0],[-47.24240374447384,-22.11533067073044,0],[-47.24267616674376,-22.11585810058507,0],[-47.23838652951089,-22.11679812148262,0]]]"
hpg7uuyc3,TALHAO_18,TALHAO,29A,9.09 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.2325828496363,-22.11658955772873,0],[-47.2355778234029,-22.11603806089465,0],[-47.2379285360734,-22.11563544742313,0],[-47.23802475411001,-22.11568965243255,0],[-47.23810342672655,-22.11578632859055,0],[-47.23821441598368,-22.11622897743159,0],[-47.23829041532193,-22.1165433688537,0],[-47.23827575342359,-22.11678613965299,0],[-47.23808120961743,-22.11685582036313,0],[-47.23749958511478,-22.11699954741793,0],[-47.23616326876986,-22.11729726859508,0],[-47.23566116418033,-22.11738764812294,0],[-47.23477771169737,-22.11760755054171,0],[-47.2333218680596,-22.1179035449611,0],[-47.2328634194176,-22.11798736211297,0],[-47.23270682895127,-22.1179292809816,0],[-47.23259866846961,-22.11784007528061,0],[-47.2325828496363,-22.11658955772873,0]]]"
1b860f3zq,TALHAO_19,TALHAO,14A,8.99 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.2397557336005,-22.11810747928014,0],[-47.23929471042834,-22.11872219896558,0],[-47.23901264215744,-22.11909156310264,0],[-47.23891179786457,-22.11915725644832,0],[-47.23877363144478,-22.1193115639319,0],[-47.23861157368203,-22.11959086821851,0],[-47.23860863352761,-22.11976635591864,0],[-47.23842717458844,-22.12009911145365,0],[-47.23826656710832,-22.12051143127908,0],[-47.23816406053795,-22.12076787958226,0],[-47.23657435190979,-22.12058000054206,0],[-47.23652334739507,-22.12047608995195,0],[-47.23647949504789,-22.1202153390457,0],[-47.23646633947349,-22.11995574948045,0],[-47.23642235639518,-22.11979512726897,0],[-47.23641733096756,-22.11965466470058,0],[-47.23640662980211,-22.1195581547032,0],[-47.23639319177613,-22.11943693059034,0],[-47.23636143506422,-22.11920030107647,0],[-47.2367654613481,-22.11833610032459,0],[-47.23703616108101,-22.11780228269835,0],[-47.23734098546272,-22.11743134010742,0],[-47.23755595108065,-22.11722916168807,0],[-47.23773777579676,-22.11698535669586,0],[-47.23832037794866,-22.11683849665596,0],[-47.2397557336005,-22.11810747928014,0]]]"
ic09y0i5d,TALHAO_20,TALHAO,29B,1.26 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.23756085542315,-22.11715737794782,0],[-47.23713263496106,-22.11765043568112,0],[-47.23687632021587,-22.11805886535822,0],[-47.23665200649295,-22.11852420128804,0],[-47.23634784998032,-22.11912808516484,0],[-47.23618695802746,-22.11773456200931,0],[-47.23617248407954,-22.11743805572284,0],[-47.23619732016305,-22.11732277106362,0],[-47.23769264513669,-22.11698219799849,0],[-47.23756085542315,-22.11715737794782,0]]]"
l7jwxi6ax,TALHAO_21,TALHAO,9A,5.79 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.23642579473818,-22.12001242761871,0],[-47.23648370339372,-22.12060880079273,0],[-47.23573888150046,-22.12056652716141,0],[-47.23506032578526,-22.12051729624215,0],[-47.23468229474567,-22.12048820009787,0],[-47.23464236278799,-22.11766465463784,0],[-47.23612926914836,-22.11733200534494,0],[-47.23642579473818,-22.12001242761871,0]]]"
ftyteyb2l,TALHAO_22,TALHAO,9B,6.22 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.23467338083928,-22.12050257746541,0],[-47.23251036666163,-22.12038486974473,0],[-47.23249792517404,-22.11812586048013,0],[-47.23380926521835,-22.11785359621953,0],[-47.23461155478259,-22.1176810557019,0],[-47.23467338083928,-22.12050257746541,0]]]"
eqlhwer49,TALHAO_23,TALHAO,31A,11.5 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.23549363881356,-22.12369965261845,0],[-47.23615784221785,-22.12382819795966,0],[-47.23739517582003,-22.12398570535028,0],[-47.23827835176767,-22.12408112159015,0],[-47.23832549097509,-22.12442770397323,0],[-47.23761609981945,-22.12463008752466,0],[-47.23733688464275,-22.12472125155161,0],[-47.23709804855233,-22.12480179567364,0],[-47.23677164670815,-22.12490130789345,0],[-47.23645403577783,-22.1249877789484,0],[-47.2360205150674,-22.12514931823265,0],[-47.23566318449296,-22.12525298851123,0],[-47.23487798748086,-22.12545904951606,0],[-47.23447508582277,-22.12558555625418,0],[-47.2339714003965,-22.12574780415872,0],[-47.23323159430773,-22.12595395213808,0],[-47.23267159050029,-22.12612840804778,0],[-47.23266868405698,-22.12611943394079,0],[-47.23258142999158,-22.12258711224395,0],[-47.23549363881356,-22.12369965261845,0]]]"
qr9qki8ki,TALHAO_24,TALHAO,13,4.73 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.23805232522828,-22.12076993301535,0],[-47.23790274966922,-22.12113673458326,0],[-47.23779538940509,-22.12136837973673,0],[-47.23781587423795,-22.12259316044331,0],[-47.23782986671308,-22.12277052095533,0],[-47.23791028696894,-22.12288714735061,0],[-47.23819162677209,-22.12287218665725,0],[-47.23821981916964,-22.12305069591,0],[-47.23829672511472,-22.12357838031588,0],[-47.23828681669415,-22.12406814223275,0],[-47.23688929454066,-22.12390405298375,0],[-47.23685098751741,-22.12365804763708,0],[-47.23682442797241,-22.12310704447725,0],[-47.2367338323302,-22.12250889914245,0],[-47.23666396378946,-22.12186320672577,0],[-47.23659515850248,-22.12118543751217,0],[-47.2365480093455,-22.12061459571013,0],[-47.23805232522828,-22.12076993301535,0]]]"
5zwt78c1o,TALHAO_25,TALHAO,9C,7.17 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.23672908412301,-22.1225574916676,0],[-47.23679833443188,-22.12325083335805,0],[-47.23687055425204,-22.12389977748394,0],[-47.23621197020444,-22.12382997746336,0],[-47.23593368011115,-22.12379059021094,0],[-47.23557589099475,-22.12371482809667,0],[-47.23531192129061,-22.12363106535593,0],[-47.23498274824561,-22.12349423711984,0],[-47.23471796313757,-22.12339964539674,0],[-47.23467627252273,-22.12048831997111,0],[-47.23649518200348,-22.12060615080684,0],[-47.23672908412301,-22.1225574916676,0]]]"
x9h8vsoon,TALHAO_26,TALHAO,9D,6.23 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.23470571933246,-22.12338894402234,0],[-47.23256055380858,-22.12256682496122,0],[-47.23250196475448,-22.12037572425056,0],[-47.23466499403501,-22.1205091530418,0],[-47.23470571933246,-22.12338894402234,0]]]"
2tb61vpbb,TALHAO_27,TALHAO,11D,6.57 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.22857233582484,-22.12466716935585,0],[-47.22897610799593,-22.12473102566238,0],[-47.2291212154671,-22.12474850224218,0],[-47.22929181836896,-22.12472195441802,0],[-47.22941925894087,-22.12467865176247,0],[-47.22963196000293,-22.12459289928642,0],[-47.22980325997327,-22.12453169547819,0],[-47.22994375047126,-22.12448314423026,0],[-47.23004265918996,-22.12443174981032,0],[-47.23026463033239,-22.12438323242899,0],[-47.23037455573684,-22.12421498643381,0],[-47.23048137811849,-22.12403869886004,0],[-47.23060338604726,-22.12377079156797,0],[-47.23099415696601,-22.12326725681436,0],[-47.23144614587481,-22.1226460827823,0],[-47.23174888935974,-22.12226405169089,0],[-47.23253314677039,-22.12257531781133,0],[-47.23257108362788,-22.12454943123898,0],[-47.22895902294431,-22.12563948664923,0],[-47.22857233582484,-22.12466716935585,0]]]"
oysl1sim1,TALHAO_28,TALHAO,11C,5.93 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.23262797578187,-22.12613548401081,0],[-47.23192162968963,-22.12633896300543,0],[-47.23105759568002,-22.12661198322122,0],[-47.2295001541628,-22.12706904691841,0],[-47.22896353285244,-22.12564980461254,0],[-47.23257409827214,-22.12454503404791,0],[-47.23262797578187,-22.12613548401081,0]]]"
kam3efkw7,TALHAO_29,TALHAO,11B,8 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.22823538654545,-22.12410701406745,0],[-47.22835333039779,-22.12446065981352,0],[-47.22855748650975,-22.12468963543515,0],[-47.22938743180461,-22.12684582568618,0],[-47.22944551952279,-22.12706424513175,0],[-47.22911881463357,-22.12717457441423,0],[-47.22745946294653,-22.12769192716809,0],[-47.22618123706679,-22.1243115162471,0],[-47.22823538654545,-22.12410701406745,0]]]"
j7jjs3b69,TALHAO_30,TALHAO,8A,10.96 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.22903462992127,-22.12063151124454,0],[-47.22881091328811,-22.12083842118719,0],[-47.22856167070173,-22.12103968001666,0],[-47.22838400312083,-22.12151963923974,0],[-47.22826600696578,-22.1219356349412,0],[-47.22817489099854,-22.12227988244319,0],[-47.22807295862777,-22.12267380587069,0],[-47.22805038143904,-22.12288626392542,0],[-47.22801183514265,-22.1231869245979,0],[-47.22803416586778,-22.12337039569641,0],[-47.22805704725512,-22.12349037295429,0],[-47.22808081981876,-22.12367912286715,0],[-47.22815133698316,-22.12385831410884,0],[-47.22821218399051,-22.1240729445606,0],[-47.22762963379014,-22.12414275607576,0],[-47.22724784824153,-22.12417887718419,0],[-47.22670469962499,-22.12425058773347,0],[-47.22617815508909,-22.12429253612418,0],[-47.2251771298298,-22.12168569312902,0],[-47.2286464514142,-22.1200217204457,0],[-47.22903462992127,-22.12063151124454,0]]]"
8id51ttna,TALHAO_31,TALHAO,7B,9.69 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.2251742602718,-22.12165838795327,0],[-47.22427319125174,-22.11922895849068,0],[-47.22591394771437,-22.11861146356119,0],[-47.22720419521024,-22.11826763673183,0],[-47.22740046825691,-22.11817720035224,0],[-47.22751420013019,-22.11823116090011,0],[-47.22864279518208,-22.12003499830452,0],[-47.2251742602718,-22.12165838795327,0]]]"
nn0pdqa4n,TALHAO_32,TALHAO,10,4.11 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.22958471511418,-22.12023823422063,0],[-47.23051160191048,-22.12051843041509,0],[-47.23099982081485,-22.12062463568537,0],[-47.23154245889728,-22.12065406752748,0],[-47.23195142665579,-22.12061001712363,0],[-47.23220083882276,-22.12047262995788,0],[-47.23248869085705,-22.12039565138991,0],[-47.23254745721653,-22.12256994953237,0],[-47.2317536075864,-22.12224712594169,0],[-47.23018805387085,-22.12084763168237,0],[-47.22968542924703,-22.12064378658707,0],[-47.22944399683664,-22.12061958767513,0],[-47.22921937498545,-22.12063339885709,0],[-47.22909128150359,-22.12066668585871,0],[-47.22854531024573,-22.11982529124759,0],[-47.22958471511418,-22.12023823422063,0]]]"
9yecn8yhq,TALHAO_33,TALHAO,7D,7.91 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.23249581804623,-22.12038490511877,0],[-47.23179612211728,-22.12061496821258,0],[-47.23117540753626,-22.1206157448312,0],[-47.2309714133284,-22.12060809745492,0],[-47.23072471314646,-22.12054428015361,0],[-47.23039476499016,-22.12046101353431,0],[-47.2301191624306,-22.12035412522128,0],[-47.22993803675947,-22.12029646595983,0],[-47.22960590155334,-22.12021157101997,0],[-47.22935946195754,-22.12011783377261,0],[-47.22898524250505,-22.11995718673447,0],[-47.22851175929995,-22.11978122790888,0],[-47.22826541803948,-22.11938550562985,0],[-47.23245314801421,-22.11816717261082,0],[-47.23249581804623,-22.12038490511877,0]]]"
3maouo9py,TALHAO_34,TALHAO,7C,6.76 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.23244635954805,-22.11665763186548,0],[-47.23245772771079,-22.11814337908717,0],[-47.2282818070212,-22.11937396702055,0],[-47.22752312491225,-22.11816121125095,0],[-47.23244635954805,-22.11665763186548,0]]]"
hi7t172qj,TALHAO_35,TALHAO,5,4.33 ha,VAZIO,,,0,0,0,#FF0000,0,"[[[-47.2255211152453,-22.11871271502519,0],[-47.22532294912333,-22.11814640076636,0],[-47.22531710904569,-22.11786420349299,0],[-47.22515881193295,-22.11783692125533,0],[-47.22511623141028,-22.11774653599942,0],[-47.23226857302505,-22.1166131899891,0],[-47.2255211152453,-22.11871271502519,0]]]"
